sale_date,sale_time,day_of_week,month,customer_type,customer_city,customer_state,customer_neighborhood,customer_address,customer_zipcode,product_name,product_category,quantity_sold,unit_cost_brl,unit_price_brl,discount_pct,total_revenue_brl,estimated_profit_brl,payment_method,sales_channel,weather_condition,delivery_app_peak,is_weekend,is_holiday_campaign,current_stock_snapshot,supplier_lead_time_days,returned
2025-01-01,16:00,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Rua São Paulo, 530",75680-195,Capacete Pro Tork,Capacete,1,180,333.75,0,333.75,153.75,Pix,Loja Física,Ensolarado,True,False,False,102,10,False
2025-01-01,14:30,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Rua do Balneário, 3537",75685-204,Luva Motoboy,Proteção,2,25,77.39,0,154.78,104.78,Pix,Instagram,Ensolarado,False,False,False,23,9,False
2025-01-01,13:15,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Portal das Águas,"Av. Orcalino Santos, 760",75683-891,Retrovisor Esportivo,Peça,1,35,119.85,0,119.85,84.85,Pix,Loja Física,Ensolarado,True,False,False,54,9,False
2025-01-01,18:00,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Itanhangá II,"Rua do Balneário, 8761",75683-267,Suporte Celular Moto,Suporte,1,18,60.55,0,60.55,42.55,Pix,Instagram,Ensolarado,False,False,False,47,7,False
2025-01-01,11:30,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Nova Vila,"Rua São Paulo, 6492",75687-246,Capacete Pro Tork,Capacete,1,180,324.42,0,324.42,144.42,Pix,WhatsApp,Ensolarado,True,False,False,93,8,False
2025-01-01,08:00,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Rua do Balneário, 6926",75689-165,Luva Motoboy,Proteção,4,25,77.06,0,308.24,208.24,Pix,Loja Física,Ensolarado,True,False,False,86,2,False
2025-01-01,12:45,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Rua São Paulo, 63",75684-612,Bag Delivery 45L,Bag Entrega,2,95,177.28,5,354.56,164.56,Pix,Loja Física,Chuva Leve,False,False,False,99,10,False
2025-01-01,08:30,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Itanhangá I,"Av. Orcalino Santos, 1842",75685-999,Bag Delivery 45L,Bag Entrega,1,95,179.33,15,179.33,84.33,Cartão Crédito,Loja Física,Chuva Leve,True,False,False,91,3,False
2025-01-01,15:15,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Jardim Belvedere,"Rua São Paulo, 3480",75688-873,Luva Motoboy,Proteção,2,25,77.24,5,154.48,104.48,Pix,Loja Física,Ensolarado,False,False,False,101,7,False
2025-01-01,11:15,Quarta-feira,Janeiro,Novo,Caldas Novas,GO,Centro,"Av. Orcalino Santos, 974",75683-169,Luva Motoboy,Proteção,1,25,79.42,10,79.42,54.42,Cartão Crédito,Loja Física,Ensolarado,True,False,False,104,9,False
2025-01-01,20:45,Quarta-feira,Janeiro,Recorrente,Caldas Novas,GO,Nova Vila,"Av. Orcalino Santos, 1598",75686-462,Bag Delivery 45L,Bag Entrega,1,95,182.06,0,182.06,87.06,Pix,WhatsApp,Chuva Forte,False,False,False,101,3,False
